case_id,dice_wt,dice_tc,dice_et,inference_time_sec,peak_gpu_memory_mb
BraTS2021_01335,0.9713276073619632,0.9585123668532226,0.9478899407237017,1.9034773000166751,4470.39697265625
BraTS2021_01344,0.9494490624395902,0.9569487641185137,0.9672763886558148,1.9024088999722153,4470.39697265625
BraTS2021_01355,0.9662365057158672,0.9809723989158693,0.9818469286174386,1.885162099963054,4470.39697265625
BraTS2021_01356,0.9448023310487317,0.9682551950494386,0.9356202840525462,1.8861229000031017,4470.39697265625
BraTS2021_01362,0.952609777437524,0.9694735072902223,0.9416777932445101,1.8908166000037454,4470.39697265625
BraTS2021_01374,0.9677555059775244,0.9905175587130972,0.9810458574107747,1.8881032000062987,4470.39697265625
BraTS2021_01426,0.9172759328819682,0.9286268547991195,0.8358391831525207,1.8615196000318974,4470.39697265625
BraTS2021_01438,0.8684157429886165,0.2505360070626813,0.8705139247774907,1.8591195999761112,4470.39697265625
BraTS2021_01450,0.9230915816612487,0.9110570037238613,0.8897233201581027,1.8640370999928564,4470.39697265625
BraTS2021_01459,0.9195047153496737,0.9391260419297802,0.9351877607788596,1.8648446000297554,4470.39697265625
BraTS2021_01499,0.9333725768567092,0.7749407924968481,0.0,1.8731453000218607,4470.39697265625
BraTS2021_01509,0.8966591551851908,0.5927984775641025,1.0,1.87256690004142,4470.39697265625
BraTS2021_01514,0.9127760107851991,0.7125196593370723,0.4704525799942347,1.863379399990663,4470.39697265625
BraTS2021_01515,0.9391677993098713,0.8445078136492741,1.0,1.8669724999926984,4470.39697265625
BraTS2021_01519,0.8786562301037414,0.8438713686499922,0.8654906284454245,1.8970281000365503,4470.39697265625
BraTS2021_01532,0.9261863100445777,0.7623428767427315,0.7475783096434873,1.8984445999958552,4470.39697265625
BraTS2021_01546,0.955996984197812,0.960031418157766,0.9670194072396423,1.8973739999928512,4470.39697265625
BraTS2021_01556,0.5254307843681408,0.6864161849710982,0.6398104265402843,1.8989806000026874,4470.39697265625
BraTS2021_01565,0.972218712711448,0.9747550544797882,0.9570029258364076,1.8966641000006348,4470.39697265625
BraTS2021_01577,0.9712560486372472,0.9865097008892482,0.9736209571911035,1.8955079999868758,4470.39697265625
BraTS2021_01588,0.9594352802764774,0.8389911907571558,0.8642533936651584,1.8969585000304505,4470.39697265625
BraTS2021_01598,0.9592151669935126,0.9772847721116477,0.9671282935742217,1.9035022999742068,4470.39697265625
BraTS2021_01615,0.7487656933276908,0.8714177022571646,0.8722757222503801,1.8955662000225857,4470.39697265625
BraTS2021_01622,0.8819236016371078,0.9740620098926288,0.9561006092798,1.9035428000497632,4470.39697265625
BraTS2021_01625,0.9763402625820569,0.9831736297431967,0.9382904711157581,1.893888299993705,4470.39697265625
BraTS2021_01629,0.9067084864573788,0.9143668191137044,0.9204787670109854,1.8936394999618642,4470.39697265625
BraTS2021_01635,0.9803796303314456,0.8949588507713637,0.7534588235294117,1.8970255000167526,4470.39697265625
BraTS2021_01636,0.6593717212270456,0.6086872524712625,0.4733501018085998,1.8966753000277095,4470.39697265625
BraTS2021_01640,0.9236863699385982,0.9848652639350314,0.9818621523579202,1.8973898000549525,4470.39697265625
BraTS2021_01647,0.8380326155587973,0.8216434795166803,0.8006847640009782,1.896601999993436,4470.39697265625
BraTS2021_01648,0.9472092982218797,0.9669988550103897,0.979258118875736,1.8945897999801673,4470.39697265625
BraTS2021_01651,0.9393821074723022,0.9866014999578664,0.97472854809263,1.89560829999391,4470.39697265625
BraTS2021_01655,0.9699550447395442,0.9452928870292887,0.968938263416791,1.8974778999690898,4470.39697265625
BraTS2021_01656,0.9630492363759322,0.7356481481481482,0.8358606012237297,1.902483800018672,4470.39697265625
BraTS2021_01659,0.9395765714027605,0.9807646170564078,0.97459740015367,1.8952455000253394,4470.39697265625
BraTS2021_01660,0.9019647706315438,0.9514476951107839,0.9150504398627765,1.8876647000433877,4470.39697265625
BraTS2021_01661,0.9480312403591667,0.9505521597960683,0.9536204677626932,1.946236099989619,4470.39697265625
BraTS2021_01663,0.9598211619354784,0.8423852804256262,0.8946955840083617,1.9719313000096008,4470.39697265625
BraTS2021_01666,0.9144993852235763,0.20902443374353485,0.0,1.9357680000248365,4470.39697265625
