case_id,dice_wt,dice_tc,dice_et,inference_time_sec
BraTS2021_01163,0.9043436226779918,0.8924815212790206,0.8434590532813113,1.861283199999889
BraTS2021_01174,0.9593386350361683,0.9601820100237405,0.8778959067843706,1.8653973999998925
BraTS2021_01191,0.9849923978177265,0.8524048324595396,0.7976913598927823,1.8660978000002615
BraTS2021_01193,0.9395812810670652,0.9435737994201925,0.8935923608824498,1.8653971000003366
BraTS2021_01194,0.969596308775055,0.969044785650016,0.7218536134428722,1.8618008000003101
BraTS2021_01197,0.9746935880671114,0.9748524534877185,0.9547173729253496,1.8642260000001443
BraTS2021_01204,0.7254736334017136,0.9234488315874295,0.8661518661518661,1.8651405999999042
BraTS2021_01226,0.8889847398637594,0.9029359010667422,0.8664133846190151,1.8631274999997913
BraTS2021_01233,0.9108570969279083,0.9289807863152577,0.8953039050779652,1.8643123000001651
BraTS2021_01237,0.866886633879101,0.8721280642886149,0.7926737418692229,1.8659594000000652
BraTS2021_01275,0.9373632002980488,0.9346096955150568,0.8203198494825964,1.8656294000002163
BraTS2021_01280,0.9452964268635803,0.9852156928726619,0.9681400510256996,1.8631075999996938
BraTS2021_01281,0.9718148294567113,0.9313812769508972,0.852666930891341,1.8636089999999967
BraTS2021_01293,0.8713839290563906,0.8629004966977785,0.5916814420803782,1.8628805000003013
BraTS2021_01335,0.9732120301442581,0.9596913758292472,0.9507017543859649,1.9457984999999098
BraTS2021_01344,0.9555481759096731,0.9649180327868853,0.9757716561566545,1.9247070999999778
BraTS2021_01355,0.9759304045853598,0.9748107364074329,0.9779661016949153,1.9090750000000298
BraTS2021_01356,0.9555925916905295,0.9807999583626096,0.9420432339268592,1.914816399999836
BraTS2021_01362,0.9571103768984016,0.968645638131929,0.9407821229050279,1.9136171999998624
BraTS2021_01374,0.9690456786883435,0.990844069269809,0.9804866434931669,1.8850506000003406
BraTS2021_01426,0.9103855742631741,0.9327686274509804,0.8300954805856142,1.8734818999996605
BraTS2021_01438,0.8754544470549284,0.3278905427755225,0.8589685896858968,1.873575399999936
BraTS2021_01450,0.92485803384631,0.931105417012523,0.8954155430252513,1.901942599999984
BraTS2021_01459,0.9233708537624014,0.9369737177851493,0.9349893700346873,1.8801860999997189
BraTS2021_01499,0.9329338610694189,0.7456818868727122,0.0,1.8787443999999596
BraTS2021_01509,0.8854418459804547,0.6762502341262409,0.0,1.9291916000001947
BraTS2021_01514,0.9185651161560036,0.7692711903129997,0.5326105370150771,1.8776201999999103
BraTS2021_01515,0.9305863021201817,0.8769688013316705,0.0,1.8693521000000146
BraTS2021_01519,0.8706278669724771,0.880942480942481,0.9081007488087134,1.8725953999996818
BraTS2021_01532,0.9634637320439978,0.8062029352482223,0.7460328270789348,1.9008844999998473
BraTS2021_01546,0.9614745900541194,0.9581755891615047,0.9692287156777298,1.8831091000001834
BraTS2021_01556,0.6434601595929224,0.8149174917491749,0.7374164506888555,1.8801815999995597
BraTS2021_01565,0.9746508600977943,0.9781023680707368,0.9600853380884905,1.8658422000003156
BraTS2021_01577,0.9737169661869541,0.9862502207533366,0.9722112311672501,1.86458999999968
